beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.9626929664854492,0.739912168323407,0.862583563261927,0.9392054729846526,0.7448366728616514,3919.663792126843,-14070.321608339325,-13321.874871669823,-13021.96077684257,-12748.276863960262,-12491.23061739689,-12251.298014645203,-12018.520596336339,-11791.610967800892,-11566.53954186704,-11343.797807686682,54,33
0.941249544609302,0.7456512953457721,0.43547651698229484,0.6677451594566561,0.8962903585352733,2908.88908044118,-6373.393768683645,-6262.464287010254,-6138.16371710093,-5954.123756569665,-5858.43722750974,-5780.935199904027,-5711.4277677597765,-5654.188950053857,-5597.158493354451,-5539.793271191647,55,31
0.9752856033758157,0.1748358934139152,0.2153892480709586,0.8381802567491126,0.5112920432826148,2435.5269603734428,-1936.6096211796148,-1770.5624560142487,-1583.7397142491545,-1308.080901780988,-1213.9356188306203,-1154.2357948539832,-1109.129565976936,-1090.3516663064827,-1070.8357623254497,-1050.5174698719557,57,31
0.9471176569412952,0.486857389909503,0.8182557124097959,1.8847016099487617,0.636256559901784,2502.6260598675344,-3976.984347480434,-3896.205206038471,-3802.686494986393,-3694.3690242328757,-3567.85739355069,-3417.780927987509,-3237.4734695193292,-3014.574655689006,-2729.575368191944,-2250.757998729211,51,14
0.9690112782755419,0.5311763743625643,0.9883527782461526,1.172762890173446,0.4104034515155175,3440.2022087904634,-3009.7979260059024,-2888.308521766413,-2804.583629948651,-2742.84375847989,-2711.3721419335434,-2679.626013111916,-2647.9415894805265,-2616.268494764922,-2584.2104674219927,-2551.5702655794794,56,34
0.9630585271991161,0.7360406672968975,0.6886256467238127,1.7600154892996625,0.7332018591068542,2295.77850744572,-8158.898033949453,-7892.637168333403,-7632.721416306099,-7378.245174213041,-7127.586495049972,-6880.408392343543,-6634.86221700193,-6390.588987956222,-6143.810574771374,-5890.755464183651,61,24
0.9318070018185489,0.5251075836944532,0.31056150777243735,1.9418667793190298,0.12559821904264723,3564.3004544249056,-4770.2361159750035,-4707.157922280568,-4637.569541861416,-4559.911250751785,-4474.5293182051155,-4390.9213892415355,-3631.5355524427723,-2432.3122659593123,-1582.4399981571826,-1467.21534116936,50,20
0.9694991474465571,0.5751888528898023,0.7049732764176195,0.9338312130569697,0.8669112302105249,2683.299920817439,-4557.135460894092,-4423.28423991752,-4228.063073791367,-4137.455294111023,-4061.003006610686,-3993.435995358728,-3941.9473529294523,-3888.020155062882,-3832.168226261385,-3775.8449982968436,55,32
0.9787553746876604,0.27330359160301354,0.4344381685876847,0.578564789245746,0.21078529581937755,3762.9734396147933,-7202.012143132028,-7094.46262617385,-6533.445153468787,-6296.135718016135,-6036.611167852826,-5739.362040932495,-5386.195504964704,-4952.063842498579,-4396.931431105974,-4238.56902241005,52,8
0.977762157694853,0.30653616067382017,0.7789210317888924,1.3830086575233271,0.5306487186261822,3390.3834798757543,-6864.110319027051,-6537.910657597102,-6143.227973563696,-5650.235857396097,-4888.4370505907855,-4484.662413089242,-3949.9151289712495,-3139.318243586318,-2853.4895693932285,-2746.236408945904,48,26
0.9709460472007381,0.4622977950061128,0.11164337215590114,0.7153247827387578,0.37582723170369403,3302.9377249394083,-1676.053671280486,-1654.974659440081,-1633.2373504885536,-1610.9840462589307,-1588.0330872565874,-1564.3187158452852,-1539.8231257220052,-1514.5294644671421,-1488.373568410313,-1461.371009986291,64,38
0.9336831187793124,0.12456564005869271,0.8854597097890496,1.317726188558345,0.6396363811391684,2204.950466255572,-1793.7081053448353,-1544.185119184582,-1162.2218664943089,-382.19970822917736,-131.7908443608844,-65.89659994780112,-30.667561604690576,-11.65153564048694,-21.137442931422072,-30.687461081161928,52,30
0.9513774359956245,0.2895651988260663,0.6829512151115454,1.587195084227239,0.7189083476952592,3419.7129766777452,-3994.1247603665997,-3569.2091550646187,-3477.6849471456485,-3388.1507180820645,-3294.206501319447,-3203.130868615773,-3107.0182476199598,-3011.136153257081,-2914.3940206905436,-2812.3614349973477,59,21
0.9701621116998957,0.2446731624074826,0.5013791237855324,0.972914422838128,0.8517264434523641,2417.1517337922824,-4834.525967673705,-4785.651732734251,-4730.861132864979,-4667.6146062559255,-4600.756927969673,-4527.580696799646,-4446.524982421497,-4373.741900397155,-4389.345660142729,-4074.146072486652,48,17
0.9517819008176266,0.173972289301573,0.22036849586835439,1.8412422476083634,0.8554209769784142,2665.392236694383,-4704.655945407442,-4515.291838771284,-4463.338224359973,-4407.907875440179,-4348.78162024059,-4275.616812863111,-4194.705632568042,-4100.252053431469,-3988.710115822276,-3850.8920318563596,49,9
0.9489242437585045,0.2688864927507979,0.6850804444749538,1.6502370917986686,0.7301169223922046,2040.4736786895955,-3092.1634974504077,-3042.9322101465327,-2988.0645771999957,-2931.642516042312,-2886.8674435766734,-2926.121649844959,-2609.035703330871,-1939.7215732883183,-1406.1820224357075,-1325.444031831878,50,20
0.9450216096937324,0.4772559011324877,0.919927672469911,1.5012975589065682,0.1530950156009591,3154.825205562474,-5205.114909405429,-4591.596615017713,-3765.7666436471513,-2548.578584198264,-1680.3916912279897,-1549.7649789298644,-1399.250407224823,-1220.0004210093402,-1021.4268726994746,-703.8789409183177,53,25
0.9535734059076914,0.453758776087559,0.6520779627107718,0.9520831850616158,0.8858813031767598,2056.7499109953574,-3802.5153521985535,-3754.2505466854554,-3696.7523411062457,-3630.810118635533,-3559.0962010215235,-3475.030724808242,-3382.5027539722555,-3275.9153069954436,-3244.99694484965,-2570.16220541443,50,17
0.9448049959025857,0.3068312409436559,0.7667819557077553,1.0184281430726347,0.39854389691702463,3725.8444058713926,-4700.453119489386,-4135.212432649506,-3200.4190494912013,-2681.0396642181695,-1807.276147621167,-1623.9509611533092,-1321.8968705211414,-1236.543871108618,-1187.5738204470595,-1157.3295092349247,51,28
0.9587740291100272,0.4375762794837039,0.9991870211261915,1.397506714401515,0.6483034816163793,2102.5885322728827,-3659.495320618374,-3294.862728841052,-2789.341921694944,-1644.5697346586805,-1530.3924473235047,-1405.698102104567,-1258.690694117603,-1018.5291252617313,-942.8156142979776,-894.8760421526181,52,27
0.9797020642252766,0.907451144663909,0.2165419058541316,1.597084484553462,0.3816231844249608,3498.867113809013,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-39494.86285508389,56,32
