beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.96,0.7,0.6,1.3,0.7,3100.0,-8318.261416658883,-8050.960128273255,-7768.004199026255,-7467.688192157363,-7148.435407577636,-6510.002167185693,-6107.1244658414025,-5677.169027005095,-5218.002513446637,-4727.26065507106,47,5
0.96,0.7,0.6,1.3,0.7,3100.0,-8348.55446847996,-8074.943740874617,-7784.951741012881,-7477.044946988887,-6864.080742441197,-6476.685155351554,-6063.692729788989,-5623.151673804712,-5152.916536901717,-4650.594038274206,47,6
0.96,0.7,0.6,1.3,0.7,3100.0,-8382.30138443436,-8101.848445136829,-7804.491787318805,-7215.532780138008,-6842.618927337538,-6445.454946828223,-6022.23302037668,-5570.982228808362,-5089.522558399844,-4575.4116600430925,47,7
0.96,0.7,0.6,1.3,0.7,3100.0,-8419.792092363723,-8132.285921920369,-7566.0424295604735,-7206.838607237084,-6824.702764095302,-6417.935934226505,-5984.724916609895,-5523.081123083317,-5030.794462638043,-4505.377213550175,47,8
0.96,0.7,0.6,1.3,0.7,3100.0,-8458.006090796072,-7913.023331156929,-7566.54586265188,-7198.4196835261455,-6807.020711372535,-6390.648388976566,-5947.477553556541,-5475.497826063312,-4972.46554574297,-4435.841989874934,47,9
0.96,0.7,0.6,1.3,0.7,3100.0,-8256.92377208303,-7922.170762369824,-7567.033575388056,-7189.943976894897,-6789.279552429231,-6363.333071332467,-5910.2653192478765,-5428.043603283722,-4914.389594347922,-4366.707976893914,47,10
0.96,0.7,0.6,1.3,0.7,3100.0,-8274.190446481343,-7931.0053046395415,-7567.166910498402,-7181.111404565305,-6771.214417930223,-6335.761936882086,-5872.903061636675,-5380.586081390608,-4856.499264628201,-4297.984024852542,47,11
0.96,0.7,0.6,1.3,0.7,3100.0,-8290.857371544831,-7939.198428646029,-7566.656461412326,-7171.669787669746,-6752.613908595875,-6307.773208256104,-5835.292666169165,-5333.1094588943215,-4798.882287404149,-4229.87992526665,47,12
0.96,0.7,0.6,1.3,0.7,3100.0,-8306.602078892265,-7946.46719296586,-7565.258330144418,-7161.419698458684,-6733.33459516715,-6279.297516553696,-5797.463659317007,-5285.773072763815,-4741.861786487454,-4162.911573869447,47,13
0.96,0.7,0.6,1.3,0.7,3100.0,-8321.14403655656,-7952.571736078888,-7562.780563839584,-7150.23122109173,-6713.330554510199,-6250.403748796984,-5759.640013536108,-5239.004832638771,-4686.122618402056,-4098.065824036334,47,14
0.96,0.7,0.6,1.3,0.7,3100.0,-8334.254099575377,-7957.334502,-7559.113865686621,-7138.089072425746,-6692.717155696149,-6221.387280108476,-5722.360342345608,-5193.662748091726,-4632.925209949188,-4042.310029548606,47,15
0.96,0.7,0.6,1.3,0.7,3100.0,-8345.744112158915,-7960.640588871538,-7554.245982567206,-7125.125883713397,-6671.83000804587,-6192.8637671049555,-5686.618749914137,-5151.238806626181,-4694.590522423934,-4716.139582236219,47,16
0.96,0.7,0.6,1.3,0.7,3100.0,-8355.481613861217,-7962.468030998594,-7548.313063122102,-7111.702424115545,-6651.344882862676,-6165.943752905225,-5654.114915567729,-5114.213650117044,-4788.219619744472,-4090.76750347859,47,17
0.96,0.7,0.6,1.3,0.7,3100.0,-8363.444131161741,-7962.965627941028,-7541.7097985587625,-7098.562477843385,-6632.494971912028,-6142.5377167016,-5627.684410742343,-5440.220002517958,-4874.868646705207,-4317.635845983303,47,18
0.96,0.7,0.6,1.3,0.7,3100.0,-8369.811710717388,-7962.580668312079,-7535.266285690358,-7087.079043438164,-6617.416259262789,-6125.8461103762365,-5663.554360018801,-4945.685444476345,-4227.728381561985,-2728.1192499421486,47,19
0.96,0.7,0.6,1.3,0.7,3100.0,-8375.092495729177,-7962.237141822911,-7530.501524440085,-7079.617213310848,-6609.672984069537,-6209.297246201591,-5624.079367941775,-5037.638072827954,-4460.101652277561,-2763.7642851425626,47,20
0.96,0.7,0.6,1.3,0.7,3100.0,-8380.294569061705,-7963.588318049562,-7529.994924180517,-7080.08521516177,-6615.0893273225265,-5852.271679273045,-5107.631738900601,-4368.293507526163,-2809.6610637491976,-2800.963946227621,47,21
0.96,0.7,0.6,1.3,0.7,3100.0,-8387.180549570097,-7969.399463723395,-7537.964803009176,-7094.823248363899,-6419.936688538553,-5812.761132042692,-5204.806783163336,-4606.53640796445,-2847.4787642388837,-2839.8785814570474,47,22
0.96,0.7,0.6,1.3,0.7,3100.0,-8398.698301866816,-7984.191307021944,-7561.252019139507,-6758.517434064278,-6046.383616005965,-5274.452132282917,-4512.7744993994165,-2894.5690933362057,-2887.0400515350266,-2880.6770203236374,47,23
0.96,0.7,0.6,1.3,0.7,3100.0,-8419.65632421716,-8015.283117279511,-7251.5210147149055,-6436.470596139164,-5611.470911507036,-4656.9960802653595,-3404.390676149307,-2934.782961404191,-2928.5165684012063,-2923.5370291554427,47,24
0.96,0.7,0.6,1.3,0.7,3100.0,-8457.832418220474,-7730.515299580003,-6924.24628402034,-6067.712557972383,-5110.965464492542,-3954.858046383155,-3452.4035844455084,-2976.943151397769,-2972.0890434129105,-2213.1849653752433,47,25
0.96,0.7,0.6,1.3,0.7,3100.0,-8196.489703155747,-7433.887949582192,-6589.8697807272065,-5641.721216145624,-4540.29970932026,-4011.489899190808,-3502.767880985903,-3021.2333392947694,-2249.850842965767,-2049.282610246257,47,26
0.96,0.7,0.6,1.3,0.7,3100.0,-7791.045808904263,-6941.645066311362,-5990.88459399675,-4904.938123053095,-4323.797251381599,-3733.7651038274043,-3108.599686756746,-2287.4169177308795,-2083.2067511081186,-1947.3863618794785,47,27
0.96,0.7,0.6,1.3,0.7,3100.0,-8031.7471341181945,-7755.363404259916,-7462.412012192413,-7151.141373557705,-6819.921653524352,-6154.678671749193,-5735.507001596314,-5287.691580946693,-4808.894843780602,-4296.5210128183535,48,5
0.96,0.7,0.6,1.3,0.7,3100.0,-8050.960128273255,-7768.004199026255,-7467.688192157363,-7148.435407577636,-6510.002167185693,-6107.1244658414025,-5677.169027005095,-5218.002513446637,-4727.26065507106,-4202.302834087663,48,6
0.96,0.7,0.6,1.3,0.7,3100.0,-8074.943740874617,-7784.951741012881,-7477.044946988887,-6864.080742441197,-6476.685155351554,-6063.692729788989,-5623.151673804712,-5152.916536901717,-4650.594038274206,-4113.494690753533,48,7
0.96,0.7,0.6,1.3,0.7,3100.0,-8101.848445136829,-7804.491787318805,-7215.532780138008,-6842.618927337538,-6445.454946828223,-6022.23302037668,-5570.982228808362,-5089.522558399844,-4575.4116600430925,-4025.895971862761,48,8
0.96,0.7,0.6,1.3,0.7,3100.0,-8132.285921920369,-7566.0424295604735,-7206.838607237084,-6824.702764095302,-6417.935934226505,-5984.724916609895,-5523.081123083317,-5030.794462638043,-4505.377213550175,-3944.0075816339568,48,9
0.96,0.7,0.6,1.3,0.7,3100.0,-7913.023331156929,-7566.54586265188,-7198.4196835261455,-6807.020711372535,-6390.648388976566,-5947.477553556541,-5475.497826063312,-4972.46554574297,-4435.841989874934,-3862.7244532722443,48,10
0.96,0.7,0.6,1.3,0.7,3100.0,-7922.170762369824,-7567.033575388056,-7189.943976894897,-6789.279552429231,-6363.333071332467,-5910.2653192478765,-5428.043603283722,-4914.389594347922,-4366.707976893914,-3781.9975661970775,48,11
0.96,0.7,0.6,1.3,0.7,3100.0,-7931.0053046395415,-7567.166910498402,-7181.111404565305,-6771.214417930223,-6335.761936882086,-5872.903061636675,-5380.586081390608,-4856.499264628201,-4297.984024852542,-3701.9144322826196,48,12
0.96,0.7,0.6,1.3,0.7,3100.0,-7939.198428646029,-7566.656461412326,-7171.669787669746,-6752.613908595875,-6307.773208256104,-5835.292666169165,-5333.1094588943215,-4798.882287404149,-4229.87992526665,-3622.810873477638,48,13
0.96,0.7,0.6,1.3,0.7,3100.0,-7946.46719296586,-7565.258330144418,-7161.419698458684,-6733.33459516715,-6279.297516553696,-5797.463659317007,-5285.773072763815,-4741.861786487454,-4162.911573869447,-3545.4010770946993,48,14
0.96,0.7,0.6,1.3,0.7,3100.0,-7952.571736078888,-7562.780563839584,-7150.23122109173,-6713.330554510199,-6250.403748796984,-5759.640013536108,-5239.004832638771,-4686.122618402056,-4098.065824036334,-3774.6348229307628,48,15
0.96,0.7,0.6,1.3,0.7,3100.0,-7957.334502,-7559.113865686621,-7138.089072425746,-6692.717155696149,-6221.387280108476,-5722.360342345608,-5193.662748091726,-4632.925209949188,-4042.310029548606,-3957.1019339566374,48,16
0.96,0.7,0.6,1.3,0.7,3100.0,-7960.640588871538,-7554.245982567206,-7125.125883713397,-6671.83000804587,-6192.8637671049555,-5686.618749914137,-5151.238806626181,-4694.590522423934,-4716.139582236219,-4178.796696630299,48,17
0.96,0.7,0.6,1.3,0.7,3100.0,-7962.468030998594,-7548.313063122102,-7111.702424115545,-6651.344882862676,-6165.943752905225,-5654.114915567729,-5114.213650117044,-4788.219619744472,-4090.76750347859,-2649.6492682844582,48,18
0.96,0.7,0.6,1.3,0.7,3100.0,-7962.965627941028,-7541.7097985587625,-7098.562477843385,-6632.494971912028,-6142.5377167016,-5627.684410742343,-5440.220002517958,-4874.868646705207,-4317.635845983303,-2683.32945954119,48,19
0.96,0.7,0.6,1.3,0.7,3100.0,-7962.580668312079,-7535.266285690358,-7087.079043438164,-6617.416259262789,-6125.8461103762365,-5663.554360018801,-4945.685444476345,-4227.728381561985,-2728.1192499421486,-2718.388352679365,48,20
0.96,0.7,0.6,1.3,0.7,3100.0,-7962.237141822911,-7530.501524440085,-7079.617213310848,-6609.672984069537,-6209.297246201591,-5624.079367941775,-5037.638072827954,-4460.101652277561,-2763.7642851425626,-2754.9756172424313,48,21
0.96,0.7,0.6,1.3,0.7,3100.0,-7963.588318049562,-7529.994924180517,-7080.08521516177,-6615.0893273225265,-5852.271679273045,-5107.631738900601,-4368.293507526163,-2809.6610637491976,-2800.963946227621,-2793.2489154254326,48,22
0.96,0.7,0.6,1.3,0.7,3100.0,-7969.399463723395,-7537.964803009176,-7094.823248363899,-6419.936688538553,-5812.761132042692,-5204.806783163336,-4606.53640796445,-2847.4787642388837,-2839.8785814570474,-2833.374248260967,48,23
0.96,0.7,0.6,1.3,0.7,3100.0,-7984.191307021944,-7561.252019139507,-6758.517434064278,-6046.383616005965,-5274.452132282917,-4512.7744993994165,-2894.5690933362057,-2887.0400515350266,-2880.6770203236374,-2875.526403548225,48,24
0.96,0.7,0.6,1.3,0.7,3100.0,-8015.283117279511,-7251.5210147149055,-6436.470596139164,-5611.470911507036,-4656.9960802653595,-3404.390676149307,-2934.782961404191,-2928.5165684012063,-2923.5370291554427,-2177.3660265678336,48,25
0.96,0.7,0.6,1.3,0.7,3100.0,-7730.515299580003,-6924.24628402034,-6067.712557972383,-5110.965464492542,-3954.858046383155,-3452.4035844455084,-2976.943151397769,-2972.0890434129105,-2213.1849653752433,-2016.2719909276202,48,26
0.96,0.7,0.6,1.3,0.7,3100.0,-7433.887949582192,-6589.8697807272065,-5641.721216145624,-4540.29970932026,-4011.489899190808,-3502.767880985903,-3021.2333392947694,-2249.850842965767,-2049.282610246257,-1916.1221955325382,48,27
0.96,0.7,0.6,1.3,0.7,3100.0,-6941.645066311362,-5990.88459399675,-4904.938123053095,-4323.797251381599,-3733.7651038274043,-3108.599686756746,-2287.4169177308795,-2083.2067511081186,-1947.3863618794785,-1813.3028980910676,48,28
0.96,0.7,0.6,1.3,0.7,3100.0,-7745.935026750988,-7459.723880629839,-7156.0301997317365,-6833.037890467747,-6489.028870747808,-5795.315706476205,-5358.664324757505,-4891.613246793964,-4391.59123423081,-3855.7480323293526,49,5
0.96,0.7,0.6,1.3,0.7,3100.0,-7755.363404259916,-7462.412012192413,-7151.141373557705,-6819.921653524352,-6154.678671749193,-5735.507001596314,-5287.691580946693,-4808.894843780602,-4296.5210128183535,-3747.669244341319,49,6
0.96,0.7,0.6,1.3,0.7,3100.0,-7768.004199026255,-7467.688192157363,-7148.435407577636,-6510.002167185693,-6107.1244658414025,-5677.169027005095,-5218.002513446637,-4727.26065507106,-4202.302834087663,-3640.1649998225357,49,7
0.96,0.7,0.6,1.3,0.7,3100.0,-7784.951741012881,-7477.044946988887,-6864.080742441197,-6476.685155351554,-6063.692729788989,-5623.151673804712,-5152.916536901717,-4650.594038274206,-4113.494690753533,-3538.576914994727,49,8
0.96,0.7,0.6,1.3,0.7,3100.0,-7804.491787318805,-7215.532780138008,-6842.618927337538,-6445.454946828223,-6022.23302037668,-5570.982228808362,-5089.522558399844,-4575.4116600430925,-4025.895971862761,-3437.852595442577,49,9
0.96,0.7,0.6,1.3,0.7,3100.0,-7566.0424295604735,-7206.838607237084,-6824.702764095302,-6417.935934226505,-5984.724916609895,-5523.081123083317,-5030.794462638043,-4505.377213550175,-3944.0075816339568,-3343.455771107408,49,10
0.96,0.7,0.6,1.3,0.7,3100.0,-7566.54586265188,-7198.4196835261455,-6807.020711372535,-6390.648388976566,-5947.477553556541,-5475.497826063312,-4972.46554574297,-4435.841989874934,-3862.7244532722443,-3249.7473910747185,49,11
0.96,0.7,0.6,1.3,0.7,3100.0,-7567.033575388056,-7189.943976894897,-6789.279552429231,-6363.333071332467,-5910.2653192478765,-5428.043603283722,-4914.389594347922,-4366.707976893914,-3781.9975661970775,-3156.7132514274203,49,12
0.96,0.7,0.6,1.3,0.7,3100.0,-7567.166910498402,-7181.111404565305,-6771.214417930223,-6335.761936882086,-5872.903061636675,-5380.586081390608,-4856.499264628201,-4297.984024852542,-3701.9144322826196,-3064.497417653048,49,13
0.96,0.7,0.6,1.3,0.7,3100.0,-7566.656461412326,-7171.669787669746,-6752.613908595875,-6307.773208256104,-5835.292666169165,-5333.1094588943215,-4798.882287404149,-4229.87992526665,-3622.810873477638,-2973.5259943168726,49,14
0.96,0.7,0.6,1.3,0.7,3100.0,-7565.258330144418,-7161.419698458684,-6733.33459516715,-6279.297516553696,-5797.463659317007,-5285.773072763815,-4741.861786487454,-4162.911573869447,-3545.4010770946993,-2901.1643084712673,49,15
0.96,0.7,0.6,1.3,0.7,3100.0,-7562.780563839584,-7150.23122109173,-6713.330554510199,-6250.403748796984,-5759.640013536108,-5239.004832638771,-4686.122618402056,-4098.065824036334,-3774.6348229307628,-4043.266426926908,49,16
0.96,0.7,0.6,1.3,0.7,3100.0,-7559.113865686621,-7138.089072425746,-6692.717155696149,-6221.387280108476,-5722.360342345608,-5193.662748091726,-4632.925209949188,-4042.310029548606,-3957.1019339566374,-2573.97631481168,49,17
0.96,0.7,0.6,1.3,0.7,3100.0,-7554.245982567206,-7125.125883713397,-6671.83000804587,-6192.8637671049555,-5686.618749914137,-5151.238806626181,-4694.590522423934,-4716.139582236219,-4178.796696630299,-2605.8845468215513,49,18
0.96,0.7,0.6,1.3,0.7,3100.0,-7548.313063122102,-7111.702424115545,-6651.344882862676,-6165.943752905225,-5654.114915567729,-5114.213650117044,-4788.219619744472,-4090.76750347859,-2649.6492682844582,-2639.0079793502227,49,19
0.96,0.7,0.6,1.3,0.7,3100.0,-7541.7097985587625,-7098.562477843385,-6632.494971912028,-6142.5377167016,-5627.684410742343,-5440.220002517958,-4874.868646705207,-4317.635845983303,-2683.32945954119,-2673.4861010946224,49,20
0.96,0.7,0.6,1.3,0.7,3100.0,-7535.266285690358,-7087.079043438164,-6617.416259262789,-6125.8461103762365,-5663.554360018801,-4945.685444476345,-4227.728381561985,-2728.1192499421486,-2718.388352679365,-2709.4660174410274,49,21
