beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.9588473396738086,0.739912168323407,0.862583563261927,0.9392054729846526,0.7448366728616514,4839.327584253686,-14399.007036849163,-13879.914968199171,-13297.762564643866,-12651.744729217042,-11837.764424553838,-10798.979916933818,-10507.928661560964,-10205.972289909327,-9910.935974943104,-9630.774200850263,55,16
0.9202491802967434,0.7456512953457721,0.43547651698229484,0.6677451594566561,0.8962903585352733,2817.7781608823598,-6014.907680457339,-6057.955496205391,-3949.884230642226,-3776.783985642451,-3624.7860021173383,-3472.629801159403,-3320.456925303988,-3155.2050488456503,-2994.25731968237,-2803.16704350944,57,24
0.9815140860764683,0.1748358934139152,0.2153892480709586,0.8381802567491126,0.5112920432826148,1871.0539207468853,-2806.4723120217327,-2780.169625784019,-2756.1549166915897,-2730.98881914093,-2704.748179009522,-2677.4879333045374,-2649.2096308321948,-2619.7987639628436,-2589.434901043264,-2557.737529503632,57,27
0.9308117824943314,0.486857389909503,0.8182557124097959,1.8847016099487617,0.636256559901784,2005.2521197350688,-2509.40365030248,-2477.0456077546073,-2443.964933513467,-2412.759255783647,-2387.7249263561985,-2363.2966433294932,-2337.776941463509,-2311.0876855185466,-2283.234591635324,-2254.2053358024486,60,13
0.9702203008959753,0.5311763743625643,0.9883527782461526,1.172762890173446,0.4104034515155175,3880.4044175809263,-6361.228098407247,-6106.114614893881,-5793.845606938112,-5749.349426345963,-5717.38405321832,-5686.376932201954,-5656.686183603681,-5628.724429635853,-5602.701182828131,-5579.340621344224,53,32
0.9595053489584089,0.7360406672968975,0.6886256467238127,1.7600154892996625,0.7332018591068542,1591.5570148914403,-6779.696432319478,-5988.103860552767,-4959.183935295569,-4620.0259086571505,-4315.398059017296,-4054.745578910375,-3791.1059057370985,-3544.294345579214,-3305.983357921262,-3082.995705262534,58,19
0.9032526032733881,0.5251075836944532,0.31056150777243735,1.9418667793190298,0.12559821904264723,4128.600908849811,-4195.192228173005,-4061.4545045066643,-3882.1991601260306,-3830.368290728148,-3781.625391135523,-3732.8130903802426,-3683.7807181665953,-3634.1797696864724,-3583.6791390979974,-3532.1884461632517,58,11
0.9710984654038027,0.5751888528898023,0.7049732764176195,0.9338312130569697,0.8669112302105249,2366.5998416348784,-5153.3683791642725,-5025.944177031505,-4875.373366736464,-4614.109864286233,-4515.997679772706,-4471.846758471136,-4432.581367307748,-4392.898177983589,-4353.4529884133,-4314.2191058569315,52,30
0.9877596744377888,0.27330359160301354,0.4344381685876847,0.578564789245746,0.21078529581937755,4525.946879229587,-6940.339379658759,-6911.368412966062,-6881.515591404203,-6850.6248549711245,-6820.386885754922,-6761.081613678245,-6712.22115031457,-6659.9064248609475,-6602.760572958824,-6559.496872117346,47,25
0.9859718838507354,0.30653616067382017,0.7789210317888924,1.3830086575233271,0.5306487186261822,3780.766959751509,-6228.184266328153,-6182.256344535525,-6135.512674912797,-6084.384448152261,-6027.420818962401,-5959.601754431961,-5896.99516554493,-5831.045084728466,-5761.240873693931,-5699.659318521762,52,15
0.9737028849613285,0.4622977950061128,0.11164337215590114,0.7153247827387578,0.37582723170369403,3605.875449878817,-4691.503915376745,-4639.65732045009,-4587.131088533615,-4533.912583248075,-4480.4948906628815,-4425.4951456554245,-4368.6563818843915,-4310.002131945218,-4249.7323163563915,-4187.995224273576,60,22
0.9066296138027623,0.12456564005869271,0.8854597097890496,1.317726188558345,0.6396363811391684,1409.9009325111433,-1448.147061612641,-1440.912725960868,-1432.9694252091251,-1424.3409300038668,-1414.983131369081,-1404.8487218984985,-1393.9090700676993,-1382.1441464931604,-1369.3240786826518,-1355.3951832505334,64,32
0.9384793847921242,0.2895651988260663,0.6829512151115454,1.587195084227239,0.7189083476952592,3839.425953355491,-5067.5887705722635,-5051.569641013416,-5034.4991305540125,-5016.257502137075,-4997.0570447075,-4976.723750658487,-4957.499314878822,-4931.697560413342,-4902.750844700801,-4867.196427283654,51,6
0.9722918010598124,0.2446731624074826,0.5013791237855324,0.972914422838128,0.8517264434523641,1834.3034675845647,-3437.2977229074518,-3409.0647536016654,-3376.765720484357,-3348.5792606666114,-3319.028086643416,-3289.084571267654,-3258.610241824188,-3226.784032530415,-3193.5678446144148,-3159.51384311843,53,30
0.9392074214717278,0.173972289301573,0.22036849586835439,1.8412422476083634,0.8554209769784142,2330.784473388766,-3451.2163645413934,-3431.264419261863,-3409.3384247109175,-3383.7952256278495,-3359.396716181949,-3333.7662400112813,-3306.8760063187974,-3278.7977084626446,-3249.520358211217,-3218.4234800167633,57,17
0.9340636387653081,0.2688864927507979,0.6850804444749538,1.6502370917986686,0.7301169223922046,1080.9473573791913,-1445.5187283080425,-1440.3220970504053,-1434.8615805222591,-1429.112011925078,-1423.2618155618975,-1417.9998897617904,-1410.6591129583715,-1399.5532792348572,-1384.5075364911372,-1375.6515265193216,52,7
