beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.9626929664854492,0.739912168323407,0.8625835632619271,0.9392054729846526,0.7448366728616514,3919.6637921268434,-11213.873356245436,-9399.754968590827,-9294.169198962332,-9227.029913614191,-9220.206343390948,-9227.34598380645,-9250.621077566782,-9293.24973724479,-9360.101852321364,-9459.12271255236,54,33
0.941249544609302,0.7456512953457721,0.4354765169822949,0.6677451594566561,0.8962903585352733,2908.88908044118,-4480.58531947945,-4264.220156592882,-4014.8134382370977,-3597.7091379321223,-3542.443321244201,-3527.927693797605,-3522.522781300705,-3529.4386471748994,-3552.8496156484657,-3600.3152027501287,55,31
0.9752856033758156,0.1748358934139152,0.2153892480709586,0.8381802567491126,0.5112920432826148,2435.526960373443,-3465.832351868896,-3441.898961700033,-3416.778388386478,-3390.8611695000645,-3364.1178728762075,-3336.3215057957286,-3307.4823083054966,-3277.525195684989,-3246.1214368273463,-3212.9593282291103,57,31
0.9471176569412952,0.486857389909503,0.8182557124097959,1.8847016099487617,0.6362565599017839,2502.6260598675344,-3758.840797562655,-3737.2498528883807,-3716.631650018031,-3700.1482627105515,-3683.637691323293,-3642.837212158659,-3542.948736745257,-3481.567915525327,-3408.9653719787843,-3310.967059455736,51,14
0.969011278275542,0.5311763743625643,0.9883527782461526,1.1727628901734461,0.4104034515155175,3440.2022087904634,-5067.132474540858,-5027.409658293718,-4993.443800564083,-4959.472189602197,-4932.9435111463645,-4908.344516923523,-4886.305789677779,-4867.509370467697,-4852.852388848272,-4844.432671017987,56,34
0.963058527199116,0.7360406672968975,0.6886256467238127,1.7600154892996625,0.7332018591068542,2295.7785074457197,-5644.1221097014395,-5329.215992722602,-5020.798944569536,-4711.48531623628,-4446.598715794785,-4192.6264978765885,-3950.298966324405,-3719.3185814850676,-3498.311787795765,-3279.148328659116,61,24
0.9318070018185488,0.5251075836944532,0.3105615077724373,1.9418667793190296,0.12559821904264726,3564.300454424905,-4319.213131918255,-4308.979333135811,-4306.23378009052,-4276.616023091159,-4242.377064214549,-4208.49295904722,-4062.478945832641,-3741.716233520544,-3460.790941684821,-3408.4903623912837,50,20
0.9694991474465572,0.5751888528898023,0.7049732764176195,0.9338312130569696,0.8669112302105249,2683.2999208174388,-5134.972694583527,-5053.862846831185,-4953.743774369121,-4899.9368531532255,-4852.125956153271,-4806.552177120716,-4764.860962936677,-4721.545636824017,-4676.545611355337,-4632.084032936454,55,32
0.9787553746876604,0.27330359160301354,0.4344381685876847,0.578564789245746,0.21078529581937755,3762.9734396147933,-5274.429463321032,-5246.3807754810905,-5217.303975228073,-5187.425360205564,-5151.725011196537,-5110.88956153563,-5067.462979165577,-5020.936400174999,-4970.115786666337,-4929.5574329989095,52,8
0.9777621576948531,0.30653616067382017,0.7789210317888924,1.3830086575233271,0.5306487186261822,3390.3834798757543,-5286.7487143743,-5261.587940539475,-5235.856015467162,-5214.544705406103,-5167.680623013096,-5129.052147810444,-5086.679571810875,-5036.720310563362,-5001.443483455995,-4967.453647710732,48,26
0.970946047200738,0.4622977950061128,0.11164337215590114,0.7153247827387578,0.375827231703694,3302.937724939409,-3878.463846995594,-3854.791552844184,-3831.419547468288,-3809.613779053693,-3798.8191857942384,-3751.342378499752,-3690.992066351697,-3628.439840325459,-3563.4249675383435,-3495.9145721101945,64,38
0.9336831187793124,0.12456564005869272,0.8854597097890496,1.317726188558345,0.6396363811391684,2204.950466255572,-2688.410321161639,-2680.916239146351,-2673.123653434611,-2662.147955312257,-2652.5128009118594,-2642.2455873307485,-2631.238328664212,-2619.4474644796155,-2606.815039477433,-2593.331572755729,52,30
0.9513774359956244,0.2895651988260663,0.6829512151115454,1.5871950842272389,0.7189083476952592,3419.712976677745,-4708.331337444243,-4668.949504438561,-4635.681074461395,-4600.71949036558,-4564.2669111303385,-4525.983707390655,-4485.68465207232,-4443.151211961199,-4397.892858493047,-4350.154490162448,59,21
0.9701621116998956,0.2446731624074826,0.5013791237855324,0.9729144228381279,0.8517264434523641,2417.1517337922824,-4441.70051454345,-4337.4632521113135,-3791.137864424922,-40000.0,-40000.0,-4421.323554875712,-4389.914822053291,-4357.661208247998,-4324.018021996791,-4285.019518784183,48,17
0.9517819008176266,0.173972289301573,0.2203684958683544,1.8412422476083636,0.8554209769784142,2665.392236694383,-4339.8413354408285,-4278.790302071569,-3900.566524113889,-40000.0,-4313.946698440744,-4290.1515426024735,-4264.070982648927,-4235.710949788761,-4207.539320308876,-4181.068140197489,49,9
0.9489242437585044,0.2688864927507979,0.6850804444749538,1.6502370917986686,0.7301169223922046,2040.4736786895955,-2923.4580679239634,-2912.883874565225,-2901.675069339402,-2890.035318283979,-2876.8227426084386,-2861.823461875217,-2848.9745821836536,-2827.60469264607,-2804.084583904989,-2786.6584108409747,50,20
0.9450216096937324,0.4772559011324877,0.9199276724699108,1.5012975589065682,0.1530950156009591,3154.825205562474,-4266.610895999758,-4253.741451303198,-4107.445008903867,-3858.359217389769,-3681.176116986775,-3641.859642586637,-3601.165726165736,-3558.885427296483,-3514.722871247103,-3468.036243715773,53,25
0.9535734059076914,0.45375877608755893,0.6520779627107718,0.9520831850616158,0.8858813031767598,2056.7499109953574,-3724.3861254353783,-3704.292078665711,-3687.0852688473133,-3656.54806257944,-3628.920467385465,-3605.0983554934523,-3572.4350235792804,-3536.256551179241,-3505.60549865512,-3404.5272605214177,50,17
0.9448049959025856,0.3068312409436559,0.7667819557077553,1.0184281430726347,0.39854389691702463,3725.8444058713926,-4370.442882607246,-4363.664635807298,-4339.895490252404,-4313.157194764941,-4278.253639881085,-4261.841351277462,-4243.830319121183,-4227.014343954461,-4209.2871831371995,-4190.3234573160535,51,28
0.9587740291100272,0.4375762794837039,0.9991870211261916,1.3975067144015147,0.6483034816163793,2102.5885322728827,-3305.713790236693,-3271.5224154154303,-3185.8021222744605,-3053.3908906699708,-3028.551777367939,-3002.6067997897353,-2975.117253730961,-2944.018567976717,-2922.967544550389,-2902.4136086723897,52,27
