Gender_x,age_at_July03,exp_at_July03,count_all,retire_at_July03,retire_at_July04,retire_at_July05,retire_at_July06,retire_at_July07,retire_at_July08,retire_at_July09,retire_at_July10,retire_at_July11,retire_at_July12,not_retired_at_July12
Female,47,5,50,1.0,,,1.0,,,,1.0,1.0,,46.0
Female,47,6,63,,,1.0,,,1.0,1.0,1.0,1.0,1.0,57.0
Female,47,7,65,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,54.0
Female,47,8,77,1.0,,,,,1.0,1.0,,1.0,1.0,72.0
Female,47,9,84,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,72.0
Female,47,10,89,2.0,,1.0,,1.0,,1.0,,,3.0,81.0
Female,47,11,79,,1.0,,,,,,,1.0,4.0,73.0
Female,47,12,89,2.0,,1.0,1.0,,1.0,,1.0,5.0,3.0,75.0
Female,47,13,96,,,,1.0,,1.0,,2.0,7.0,1.0,84.0
Female,47,14,84,,,2.0,1.0,,,,,7.0,8.0,66.0
Female,47,15,75,,1.0,,,,1.0,,2.0,2.0,5.0,64.0
Female,47,16,67,,,1.0,1.0,,,,2.0,2.0,6.0,55.0
Female,47,17,68,,,,,,,,3.0,3.0,5.0,57.0
Female,47,18,81,,1.0,1.0,,2.0,1.0,,2.0,8.0,4.0,62.0
Female,47,19,72,1.0,,,,,,,2.0,3.0,5.0,61.0
Female,47,20,63,,,,1.0,,1.0,,1.0,5.0,2.0,53.0
Female,47,21,67,,1.0,,,,1.0,1.0,2.0,6.0,8.0,48.0
Female,47,22,90,,,,,,,,1.0,5.0,5.0,79.0
Female,47,23,127,,,,,,1.0,1.0,,6.0,8.0,111.0
Female,47,24,222,1.0,,,3.0,,,1.0,2.0,16.0,51.0,148.0
Female,47,25,331,,2.0,,,1.0,,,7.0,64.0,117.0,140.0
Female,47,26,153,1.0,,1.0,,,,1.0,31.0,48.0,32.0,39.0
Female,47,27,10,,,,,,,,4.0,2.0,3.0,1.0
Female,48,5,61,,,1.0,,2.0,1.0,,1.0,2.0,1.0,53.0
Female,48,6,73,4.0,,1.0,1.0,,2.0,,3.0,1.0,2.0,59.0
Female,48,7,62,1.0,1.0,,,,,,1.0,2.0,1.0,56.0
Female,48,8,68,1.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,60.0
Female,48,9,102,2.0,3.0,,,2.0,,,1.0,2.0,,92.0
Female,48,10,107,3.0,1.0,2.0,,,1.0,,,1.0,8.0,91.0
Female,48,11,94,4.0,1.0,1.0,1.0,1.0,,,2.0,4.0,4.0,76.0
Female,48,12,85,,4.0,1.0,,,2.0,,3.0,6.0,6.0,63.0
Female,48,13,76,,,1.0,2.0,,1.0,,8.0,5.0,3.0,56.0
Female,48,14,78,,2.0,,1.0,,,2.0,4.0,3.0,2.0,64.0
Female,48,15,95,,,1.0,1.0,1.0,,2.0,5.0,5.0,4.0,76.0
Female,48,16,76,,,,,1.0,,1.0,2.0,2.0,6.0,64.0
Female,48,17,70,1.0,,,2.0,1.0,3.0,1.0,4.0,4.0,5.0,49.0
Female,48,18,89,,1.0,1.0,,1.0,,1.0,5.0,8.0,3.0,69.0
Female,48,19,74,1.0,2.0,2.0,,,,1.0,6.0,4.0,2.0,56.0
