Gender,age_at_July06,exp_at_July06,count_all,retire_at_July06,retire_at_July07,retire_at_July08,retire_at_July09,retire_at_July10,retire_at_July11,retire_at_July12,not_retired_at_July12
Female,47,5,66,1.0,2.0,,,,1.0,1.0,61.0
Female,47,6,90,,,1.0,,1.0,,,88.0
Female,47,7,86,1.0,,2.0,1.0,1.0,1.0,,80.0
Female,47,8,71,,,,,2.0,,2.0,67.0
Female,47,9,62,,,,1.0,1.0,,2.0,58.0
Female,47,10,64,1.0,1.0,,,,,2.0,60.0
Female,47,11,73,1.0,,1.0,1.0,,,,70.0
Female,47,12,82,1.0,2.0,1.0,,,,,78.0
Female,47,13,67,1.0,,1.0,1.0,2.0,,1.0,61.0
Female,47,14,60,,,,,,,,60.0
Female,47,15,77,,,1.0,,,,,76.0
Female,47,16,71,,,,,,,,71.0
Female,47,17,60,,,,,1.0,,1.0,58.0
Female,47,18,65,,1.0,,,1.0,,,63.0
Female,47,19,71,,1.0,,2.0,,,1.0,67.0
Female,47,20,74,,1.0,,1.0,1.0,,,71.0
Female,47,21,84,,,,1.0,,1.0,,82.0
Female,47,22,100,,,,1.0,,,2.0,97.0
Female,47,23,113,1.0,,,,,,1.0,111.0
Female,47,24,155,1.0,1.0,,,,1.0,,152.0
Female,47,25,156,,,,,1.0,2.0,,153.0
Female,47,26,96,,,,,,1.0,1.0,94.0
Female,47,27,4,,,,,,,,4.0
Female,48,5,82,2.0,2.0,1.0,2.0,1.0,,,74.0
Female,48,6,72,1.0,2.0,,,,2.0,1.0,66.0
Female,48,7,97,1.0,1.0,1.0,,3.0,1.0,2.0,88.0
Female,48,8,88,3.0,1.0,1.0,1.0,,2.0,3.0,77.0
Female,48,9,82,4.0,1.0,,,,1.0,2.0,74.0
Female,48,10,71,,1.0,3.0,1.0,1.0,,,65.0
Female,48,11,76,1.0,3.0,,1.0,1.0,2.0,1.0,67.0
Female,48,12,96,,1.0,,,1.0,1.0,1.0,92.0
Female,48,13,105,,,,2.0,,1.0,1.0,101.0
Female,48,14,70,2.0,,,2.0,,,3.0,63.0
Female,48,15,79,,,2.0,1.0,1.0,,2.0,73.0
Female,48,16,64,1.0,,1.0,,1.0,1.0,1.0,59.0
Female,48,17,72,,1.0,1.0,,,,5.0,65.0
Female,48,18,90,,1.0,1.0,,1.0,,1.0,86.0
Female,48,19,64,,1.0,,,,,3.0,60.0
Female,48,20,74,,1.0,,,,,4.0,69.0
Female,48,21,78,1.0,,1.0,,,,1.0,75.0
Female,48,22,77,,,,,,1.0,1.0,75.0
Female,48,23,99,3.0,,,,,2.0,7.0,87.0
Female,48,24,111,,,,,,,3.0,108.0
Female,48,25,152,1.0,,,,,2.0,2.0,147.0
Female,48,26,242,,1.0,,,,1.0,9.0,231.0
Female,48,27,100,1.0,,2.0,,,1.0,21.0,75.0
Female,48,28,5,,,,,,,3.0,2.0
Female,49,5,68,2.0,2.0,1.0,2.0,,1.0,1.0,59.0
Female,49,6,69,2.0,1.0,2.0,,1.0,,1.0,62.0
Female,49,7,80,3.0,1.0,1.0,2.0,,,1.0,72.0
Female,49,8,81,1.0,2.0,1.0,1.0,,,,76.0
Female,49,9,91,,,2.0,,1.0,,3.0,85.0
Female,49,10,70,,1.0,,,,1.0,,68.0
Female,49,11,74,1.0,1.0,,2.0,,2.0,2.0,66.0
Female,49,12,99,1.0,,1.0,1.0,,,1.0,95.0
Female,49,13,86,1.0,1.0,2.0,1.0,1.0,,1.0,79.0
Female,49,14,81,,1.0,,,,1.0,1.0,78.0
Female,49,15,87,,,,,,1.0,5.0,81.0
Female,49,16,75,,,1.0,,,1.0,6.0,67.0
Female,49,17,75,,2.0,,4.0,,,6.0,63.0
Female,49,18,67,1.0,,,,,3.0,5.0,58.0
Female,49,19,73,,,1.0,,1.0,2.0,6.0,63.0
Female,49,20,62,,,1.0,,,1.0,4.0,56.0
Female,49,21,70,,,,,,3.0,10.0,57.0
Female,49,22,65,,1.0,1.0,,1.0,3.0,4.0,55.0
Female,49,23,75,,1.0,,1.0,,1.0,8.0,64.0
Female,49,24,96,1.0,,,,,3.0,13.0,79.0
Female,49,25,145,,,,,,6.0,7.0,132.0
Female,49,26,226,,1.0,,,1.0,7.0,11.0,206.0
Female,49,27,273,1.0,,1.0,,1.0,6.0,85.0,179.0
Female,49,28,101,,,,,,21.0,29.0,51.0
Female,49,29,6,,,,,,2.0,3.0,1.0
Female,50,5,57,1.0,2.0,2.0,1.0,2.0,,1.0,48.0
Female,50,6,69,2.0,2.0,1.0,,,,1.0,63.0
Female,50,7,62,2.0,1.0,1.0,1.0,,2.0,1.0,54.0
Female,50,8,69,1.0,,,1.0,1.0,1.0,,65.0
Female,50,9,73,,,1.0,1.0,1.0,2.0,2.0,66.0
Female,50,10,73,1.0,,,2.0,1.0,2.0,1.0,66.0
Female,50,11,76,3.0,3.0,1.0,,,1.0,2.0,66.0
Female,50,12,95,1.0,2.0,1.0,2.0,1.0,,3.0,85.0
Female,50,13,87,,,,,,,1.0,86.0
Female,50,14,83,1.0,,,,,2.0,5.0,75.0
Female,50,15,89,,,1.0,,2.0,4.0,2.0,80.0
Female,50,16,106,1.0,1.0,1.0,,1.0,9.0,5.0,88.0
Female,50,17,79,1.0,,,,1.0,7.0,5.0,65.0
Female,50,18,63,,,1.0,,1.0,2.0,5.0,54.0
Female,50,19,83,1.0,1.0,,,4.0,2.0,6.0,69.0
Female,50,20,68,,,,,5.0,5.0,6.0,52.0
Female,50,21,75,,2.0,1.0,,,5.0,5.0,62.0
Female,50,22,76,1.0,,,,2.0,3.0,3.0,67.0
Female,50,23,66,,,2.0,,2.0,7.0,4.0,51.0
Female,50,24,64,1.0,,,1.0,1.0,6.0,7.0,48.0
Female,50,25,99,1.0,,,1.0,1.0,6.0,7.0,83.0
Female,50,26,174,,,1.0,,,7.0,10.0,156.0
Female,50,27,259,2.0,1.0,,1.0,3.0,17.0,101.0,134.0
Female,50,28,271,,,,1.0,9.0,79.0,79.0,103.0
Female,50,29,105,,,,,30.0,30.0,16.0,29.0
Female,50,30,4,,,,,2.0,1.0,1.0,
Female,51,5,75,1.0,,2.0,,2.0,,1.0,69.0
Female,51,6,71,1.0,2.0,1.0,2.0,,2.0,1.0,62.0
Female,51,7,89,1.0,1.0,1.0,,,2.0,2.0,82.0
Female,51,8,85,1.0,2.0,2.0,1.0,4.0,2.0,1.0,72.0
Female,51,9,85,2.0,1.0,1.0,,2.0,5.0,2.0,72.0
Female,51,10,65,,1.0,2.0,,1.0,,2.0,59.0
Female,51,11,69,1.0,,,,,2.0,,66.0
Female,51,12,104,1.0,2.0,,,1.0,2.0,,98.0
Female,51,13,114,,,1.0,,1.0,2.0,13.0,97.0
Female,51,14,85,1.0,,3.0,,3.0,6.0,2.0,70.0
Female,51,15,79,,,1.0,,4.0,4.0,5.0,65.0
Female,51,16,82,2.0,,,,8.0,4.0,3.0,65.0
Female,51,17,85,1.0,1.0,,3.0,5.0,4.0,4.0,67.0
Female,51,18,89,1.0,1.0,,2.0,2.0,3.0,5.0,75.0
Female,51,19,79,,,,,4.0,5.0,4.0,66.0
Female,51,20,74,2.0,1.0,3.0,1.0,4.0,4.0,5.0,54.0
Female,51,21,82,,1.0,,2.0,8.0,6.0,2.0,63.0
Female,51,22,78,,,1.0,1.0,5.0,3.0,3.0,65.0
Female,51,23,83,,,,1.0,7.0,3.0,7.0,65.0
Female,51,24,66,1.0,1.0,,1.0,4.0,6.0,4.0,49.0
Female,51,25,80,,,,2.0,4.0,5.0,7.0,62.0
Female,51,26,126,1.0,1.0,,4.0,3.0,1.0,8.0,108.0
Female,51,27,171,2.0,,1.0,2.0,14.0,10.0,45.0,97.0
Female,51,28,282,1.0,,,6.0,17.0,84.0,104.0,70.0
Female,51,29,246,1.0,1.0,,4.0,79.0,73.0,41.0,47.0
Female,51,30,132,1.0,3.0,1.0,34.0,36.0,19.0,7.0,31.0
Female,51,32,1,,,,1.0,,,,
Female,52,5,44,1.0,,,,,1.0,1.0,41.0
Female,52,6,57,4.0,1.0,,1.0,2.0,,1.0,48.0
Female,52,7,77,1.0,2.0,1.0,,,,3.0,70.0
Female,52,8,75,2.0,,1.0,1.0,,1.0,1.0,69.0
Female,52,9,71,,,2.0,1.0,1.0,1.0,2.0,64.0
Female,52,10,65,3.0,1.0,3.0,,,,1.0,57.0
Female,52,11,78,,3.0,1.0,,2.0,1.0,2.0,69.0
Female,52,12,101,1.0,3.0,1.0,1.0,,1.0,3.0,91.0
Female,52,13,97,,1.0,2.0,1.0,1.0,2.0,3.0,87.0
Female,52,14,100,1.0,1.0,1.0,,1.0,2.0,6.0,88.0
Female,52,15,112,,1.0,3.0,7.0,4.0,4.0,3.0,90.0
Female,52,16,92,,,1.0,3.0,1.0,2.0,4.0,81.0
Female,52,17,83,1.0,1.0,1.0,6.0,1.0,3.0,3.0,67.0
Female,52,18,79,1.0,,5.0,6.0,1.0,3.0,3.0,60.0
Female,52,19,97,2.0,,3.0,7.0,3.0,3.0,3.0,76.0
Female,52,20,84,1.0,2.0,,2.0,2.0,3.0,3.0,71.0
Female,52,21,90,,,2.0,6.0,2.0,3.0,9.0,68.0
Female,52,22,81,,,3.0,7.0,5.0,7.0,1.0,58.0
Female,52,23,77,,,1.0,5.0,4.0,2.0,5.0,60.0
Female,52,24,83,,,3.0,8.0,4.0,2.0,4.0,62.0
Female,52,25,77,2.0,,,5.0,4.0,5.0,5.0,56.0
Female,52,26,102,,,3.0,3.0,6.0,6.0,8.0,76.0
Female,52,27,143,1.0,1.0,3.0,12.0,9.0,19.0,38.0,60.0
Female,52,28,191,,,10.0,14.0,8.0,55.0,51.0,53.0
Female,52,29,283,1.0,1.0,4.0,27.0,91.0,79.0,43.0,37.0
Female,52,30,271,1.0,,8.0,98.0,70.0,35.0,18.0,41.0
Female,52,31,150,1.0,,43.0,44.0,24.0,14.0,11.0,13.0
Female,52,32,13,,,8.0,2.0,,,,3.0
Female,53,5,51,3.0,4.0,,3.0,,1.0,,40.0
Female,53,6,57,2.0,,,3.0,1.0,2.0,3.0,46.0
Female,53,7,58,1.0,1.0,1.0,,2.0,,2.0,51.0
Female,53,8,63,1.0,,2.0,3.0,,1.0,3.0,53.0
Female,53,9,74,2.0,1.0,,,3.0,1.0,7.0,60.0
Female,53,10,96,2.0,1.0,2.0,,1.0,,2.0,88.0
Female,53,11,64,1.0,,1.0,1.0,1.0,1.0,5.0,54.0
Female,53,12,88,4.0,1.0,1.0,1.0,2.0,2.0,2.0,75.0
Female,53,13,92,,,1.0,1.0,,2.0,6.0,82.0
Female,53,14,87,,1.0,1.0,1.0,3.0,1.0,10.0,70.0
