beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.9542288207422,0.5097975765514156,0.35852217848487056,1.4774384490762833,0.22708628500579062,3633.362886735694,-5293.8861830161395,-5246.883266571845,-5193.2624282941215,-5132.103943319914,-5062.558283384243,-4982.354340508389,-4889.495708292402,-4783.085894280199,-4664.883006265681,-4329.0933975355565,49,17
0.976318894767422,0.7308199236480919,0.8413383596954586,0.5910300772885215,0.14177213060879162,3132.003263472079,-31530.46153611954,-28976.57934879746,-26302.00542660592,-23499.478065904103,-20560.784617629997,-17476.857229091842,-14237.51059959042,-12817.984801847553,-11445.469704987594,-10123.323987637992,54,20
0.9345288162055596,0.30286218382457786,0.4861738262977734,1.1009825063889507,0.3098758054490845,2057.079831007192,-2277.094353691023,-2267.860447345456,-2257.188831390933,-2244.8895898752035,-2230.969238123551,-2217.623727404953,-2181.6745798891466,-2153.97080121661,-2143.954442722315,-2133.2457403715744,52,20
0.9786393919769684,0.1447685003162053,0.38843129923783704,0.8405988693087045,0.6837947607517643,2693.560500579726,-4448.471098416005,-4416.59293136084,-4383.197375807574,-4348.214319266765,-4311.556987532853,-4273.164775750219,-4232.535056636318,-4192.266120539969,-4150.582355716284,-4107.540852132665,54,10
0.9366163420623702,0.693005246397614,0.19390068538188032,0.7782968291688204,0.31832558445706605,3901.045976780665,-7104.944141557126,-6807.101430779466,-6446.387803866318,-6003.3230236014215,-5448.909652570716,-4795.130948286602,-3789.42190058518,-3619.0049125685177,-3449.712881275692,-3281.900639569976,54,14
0.9688846315946917,0.11129905356526071,0.4017980245888463,1.1643071820745376,0.3990114038111384,3806.5063506030024,-5082.328313326522,-5056.401309313256,-5028.548241925279,-5001.567251460441,-4972.934302860397,-4942.466553530382,-4910.10983963984,-4875.919047382369,-4840.152080282026,-4805.57044604396,53,31
0.9716548180361761,0.4788178163092349,0.11660194204462077,0.6165793406432081,0.8357087283888605,2072.9864429294157,-4018.4205756091915,-3986.784600217128,-3953.034311791877,-3916.1085443246407,-3875.916601429254,-3833.3254750243796,-3789.2971618919005,-3741.7290706164817,-3687.737458916407,-3629.0200858376065,49,10
0.9652789834022943,0.9095770156601148,0.5845716068870647,1.3494505723480394,0.431870410335359,3293.8115621089646,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-39318.24162197223,51,14
0.9502024863296266,0.14532769004872945,0.12204070816632409,1.8326206699676713,0.8250644346682092,3250.401292043381,-5091.183421921532,-5067.54940792618,-5043.649710365324,-5018.579821930252,-4994.040086850398,-4968.747489270695,-4940.848387339241,-4910.024397245756,-4875.9275190614135,-4838.611762688812,50,9
0.9714853856510914,0.3368396214958981,0.8207025230969888,1.320283889627659,0.6997166693780448,2244.2821577325058,-3802.857073738997,-3783.8497789973985,-3763.660637121257,-3742.152916696546,-3719.2280528935785,-3694.831429548546,-3668.9875943967936,-3641.742606966104,-3613.3401470476433,-3586.1187476633763,47,16
0.9609614571593186,0.4154379206716613,0.5281333788609052,1.580789650164053,0.11896729865834761,2075.9875498298165,-2651.9981193966382,-2559.205000865941,-2445.291555326517,-2408.4445051264393,-2387.6665471509004,-2369.755167343601,-2353.32596159276,-2338.638210592545,-2323.3027170966516,-2307.413447197883,53,31
0.9345745258686841,0.5920892547823652,0.13534157546928774,1.8745868788834223,0.6356105612428756,3005.3420648347183,-4396.052409954965,-4366.46160844104,-4331.630202115353,-4290.50094264594,-4241.617120167145,-4183.387282051508,-4114.307541648658,-4031.233346558149,-3930.6775527354866,-3806.7456706154107,48,13
0.965019981191922,0.9343129621818089,0.9848185238979225,1.7603599693627339,0.4145073329316963,2113.051359111822,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,-40000.0,53,13
