beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.967225691080837,0.443148743090399,0.7811669685529173,0.7917276209633597,0.5991639087176235,3722.1302198941826,-220.28785805570772,-178.10606376288615,-145.7668736350547,-137.75301881789665,-132.59883633986783,-127.53468271280326,-126.81402343332047,-126.10953770283595,-125.42061473526428,-124.74670597270665,53,32
0.961606995394111,0.8606138642517631,0.6198534016150917,1.7142441604687648,0.3110329558774326,2745.9759392107208,-94595.95354365885,-87860.31259332478,-83163.73178646454,-78168.30685725607,-72850.40147535999,-67183.98960762967,-61139.79805914487,-54684.79770190458,-47782.23342726449,-40391.330242583615,50,9
0.9503717538401255,0.7128189982047448,0.7143496538059861,1.0678942044366724,0.27474019750580725,2020.0988934144598,-14409.61256714649,-12995.169770617638,-10350.228258019808,-7289.020699676923,-5256.785332783663,-4628.275785904867,-4034.957681380441,-3499.2078130206564,-3197.8504105849715,-3199.1461992310033,53,24
0.93123983798688,0.35251126935234744,0.48048899505333076,1.2240631773334827,0.5905283076611526,3768.163481670814,-144.26544596136907,-127.38345897274131,-109.87702907080163,-92.3748590409935,-49.2095348282794,-49.0342798523252,-48.875080820075254,-48.7318093409599,-42.65511993787334,-41.039223867965006,51,26
0.973636497687495,0.19844096891117072,0.685849296981391,1.3722307708817847,0.2738507957335736,3813.4684186368704,-66.40447621087765,-60.703936372512764,-54.8862769601601,-48.937704705628015,-42.845092211594825,-36.595105361305016,-30.173770954097993,-23.566467754233123,-16.75770038884691,-15.323214423150779,51,10
0.9304640588766736,0.5182446174911537,0.25347413175988764,1.105600479223675,0.41232427591703813,3400.77854974311,-244.95720413650088,-244.4745028330226,-244.089197861284,-243.80302773617905,-189.64552396720046,-176.05937637887018,-167.18612231060933,-158.37574923048987,-156.97965331442083,-155.61778132807558,54,30
0.9464834646581739,0.1530721000748363,0.42085508713721886,1.0001990838957946,0.28821734168255625,3589.3123464180644,-27.52285009556271,-25.170920925520516,-22.67670211884461,-20.029576094063746,-17.2181032011121,-14.22991391802776,-11.110948328583477,-8.08578751744345,-5.30647424260404,-5.280687906702902,51,13
0.9326101637268537,0.45743125662651873,0.21414837763826738,0.6431327001576279,0.6541349628906835,2077.7480709835086,-350.1153908722972,-339.1083728302886,-327.9650904503123,-317.3566192065834,-308.52817324512927,-303.9316166186474,-263.1801425969338,-230.0002075565244,-116.5892698425912,-116.42086465234388,48,20
0.969045867469273,0.9620834860795646,0.1751155584360351,1.781207029171127,0.5462384832109776,2379.452234054281,-137931.05919829736,-131660.35786965038,-124904.46792070522,-117624.75274227363,-109785.14533169783,-101384.20983448587,-94352.23266008079,-78272.50028225526,-60109.89669725276,-34770.06826705631,47,19
0.9324609215320431,0.922985228903949,0.5385161828790122,0.9080484622246805,0.48317554977503463,2575.849111587627,-92007.48651592662,-90607.9980870274,-88935.72752917024,-86957.77382867759,-81733.29052801,-78445.32632000903,-74647.1674202932,-70278.33716034776,-65270.285481758496,-59544.846992170256,47,6
0.9580888568195952,0.907936754631975,0.10674128862436211,1.8478844650279258,0.39559607847344014,3894.9085555306556,-79234.63597504362,-70375.93906043937,-59955.48723340001,-47973.2334065506,-34326.155176781824,-16775.255554004165,-16864.81515167706,-16961.937249083596,-17067.269845152332,-8165.20815693395,49,25
0.9458218734370616,0.9607500221589249,0.6395976580444195,0.7190508138586517,0.5572817435133438,3549.1647794545283,-146589.96118618367,-140469.9207027852,-133562.36498410368,-125790.91133661602,-117069.75466256536,-107301.8458387228,-96377.3460906839,-84172.27465292689,-70546.21998120318,-65068.70951982821,51,13
0.9475038534616349,0.5536750848190378,0.5023373640913802,0.9048141547846328,0.38247773564612464,3146.9374435937902,-2508.793576501203,-2396.594901659105,-2275.594565545344,-2145.025142786411,-2004.070116217861,-1851.8574755773418,-1687.444044045338,-1509.7902868892384,-1317.748598676992,-919.1707833730766,47,17
0.9306268823025282,0.6447490390154159,0.3702895929811919,0.8763788755037436,0.1841433891897591,2758.2399591004078,-6595.1714720188365,-6365.3964802408855,-6108.395903927608,-5820.865017238875,-5499.217718810006,-4683.240770317237,-3686.5862819142753,-2497.1709756686464,-1083.2966575460941,-1084.7104550346066,47,21
0.9799961066633067,0.4812767219560623,0.133816374716444,1.9156417653205442,0.6877065614274631,3965.6072923437605,-453.79450007426743,-422.92949060721594,-395.3035256084885,-373.1756999653479,-361.39289862088606,-373.77619917834613,-324.95339203036747,-165.33993057600537,-162.76135094117853,-160.28820684081438,51,20
0.9716099111449641,0.3176844762431232,0.7339103867251124,0.6000180191326446,0.10097117867424901,2896.193911737132,-438.86884806892607,-418.6581880047218,-398.0213245144926,-352.21235298533065,-328.67353638054016,-304.4225157265277,-279.3986801452569,-253.544216554942,-226.80141208267577,-199.1087781826296,47,7
0.9630226935339073,0.801105810190742,0.817075257063024,1.2885543320424624,0.8859343350078034,2555.3809251524535,-10824.123003104745,-10814.333771339501,-10809.441687208528,-8143.69283384725,-7433.354684639722,-6957.381865943171,-6489.313962719942,-6384.319185629196,-6282.687516153281,-6184.259051246714,54,31
0.9685980544980363,0.9804487024130621,0.3120172089013036,1.3898185862944252,0.30956251675091684,2698.832540085171,-148967.5776194284,-118120.46291916828,-87372.9441221497,-58954.44568856829,-33488.102049897774,-27281.82195634977,-23302.53821148991,-19372.02051075897,-18946.260346226394,-18536.236752719036,51,30
0.974043177237781,0.8529833809966428,0.38986828510477234,0.8716966084170769,0.23369292420711824,3223.6692112554465,-100340.8032667445,-95074.0964937762,-89499.19040111407,-83593.89210880468,-77334.94944213456,-65683.41276845602,-52647.94105578789,-38075.6279710561,-21794.480837250718,-18785.982217848363,47,21
0.9428532270129549,0.5856299915514287,0.5817776574353943,1.5309196766810327,0.5294691979542728,3980.53318336549,-2708.0592278681283,-2550.526033141152,-2381.7731800095694,-2200.7714356731535,-2006.4506831530953,-1797.703370185115,-1472.0951900625212,-1186.9655012675303,-697.6474243795183,-693.8209503713688,49,20
0.9618651005638852,0.8598434511047705,0.4145250255855102,0.6161868638033798,0.8120893560681769,2542.516029588914,-24662.28725430919,-23650.646603976988,-22552.84637033209,-21767.370354816558,-21159.341370757753,-20683.96909424747,-20461.566856867834,-20764.070313598782,-22392.798450942664,-21312.916161585017,48,17
0.9669219527668205,0.7953628416091508,0.5126174730463149,1.243238102429539,0.6855688591616352,2243.7820418438782,-20319.714846898252,-17643.369842038268,-14796.696032996086,-11410.161253626498,-9903.573247905066,-8483.251767716545,-8486.395641312047,-5835.5101282536925,-5167.661581634195,-4732.4216893120465,49,27
0.9324037117457428,0.9602130730454488,0.9004162066257916,1.3433484905334874,0.5835787841930955,2759.0513349243693,-128632.49985473833,-98384.90599740586,-78543.44863529784,-63530.04228624172,-63652.56292164762,-50634.20694989397,-46790.40087978373,-44083.82140260778,-41402.000138483476,-40556.28495958354,51,29
0.951278137389076,0.9293111890731447,0.11923583103018259,1.558094461019893,0.7544925239239828,3544.2040659039817,-22693.764536732837,-21605.58094552285,-18046.484026399346,-16809.541832666164,-15529.852541669074,-14225.557103764253,-12916.35437152331,-12984.704660855263,-13039.889559665462,-13082.885394974437,53,8
0.9530772056859521,0.36852071981106516,0.2720809732285177,1.4777962886841445,0.12373249534024487,2886.6606460322005,-176.22575548906377,-136.43745932048617,-94.98587931150207,-54.785351872011006,-44.62583953109629,-42.02292764583285,-40.300777224842705,-38.60260526582135,-38.2566616925792,-37.91950432303463,51,30
0.9603443120000729,0.6938761987838495,0.631246466341887,1.6257764108282118,0.7330428707337422,2154.291711791967,-5038.573893461926,-4578.266190250728,-4123.478166915931,-2584.386473918774,-2568.235906432248,-2552.992794139158,-2538.702977909583,-2525.4180891004544,-2513.216166982569,-1888.9961122169989,54,25
0.9598895094302922,0.2780017434634055,0.8813694484597888,1.5817554335177992,0.697083491135905,2300.2175332881443,-66.46438452266554,-60.88816057187605,-55.07064629221862,-48.99301571053106,-42.63451518723423,-35.97189628104835,-29.32272024860239,-25.02469634567541,-24.789039340736508,-24.565619726186355,52,13
0.9599944977069678,0.8020724448383324,0.44930526897779766,0.9337925674858749,0.24666621028455876,2824.121279984188,-14346.624009619756,-8847.52203145799,-8063.919877519351,-8093.361168931515,-5525.045446806718,-4893.969815483957,-4488.647848673005,-4088.263923822902,-4040.584703946937,-3994.198194366356,53,30
0.9590821615282944,0.8217919412393055,0.41688935688749784,0.9337282835771415,0.8241948205237288,2554.072447583104,-10412.499511792079,-9738.725101001472,-9165.208643801538,-8589.638854757743,-8016.011044389076,-7448.374960268637,-7447.271751614026,-7444.264913185223,-7439.823477551152,-7434.342781561791,54,15
0.9668193209423531,0.8452914521561371,0.4479228654341141,1.2855112216886306,0.5727776303554801,2663.1294195818796,-50111.29064448946,-47983.63132209519,-45719.86057654314,-43309.96820542087,-40743.53606180253,-38009.59722076972,-35096.35323669363,-31990.771207054808,-28678.323623318207,-25142.65359945739,47,12
0.9622513743201365,0.2899683458474611,0.7819189888422577,1.4395999235957733,0.4128185036560095,2865.084597422998,-30.08611055324974,-29.923692718016127,-26.161074531878853,-25.1664620114733,-24.499573018316823,-23.845520048418166,-23.684243673760534,-23.5267109066491,-23.37277971650593,-23.222313766856416,54,32
0.9579349788916481,0.5313746296402498,0.13507860763636872,1.8672397863494772,0.43058493647831075,3760.773900386535,-1475.9419476429566,-1413.727335405526,-1349.954921893317,-1287.0124641797865,-1115.2280432322493,-930.870998118578,-741.6988469155489,-559.1876485341736,-267.10707878595986,-264.8281904202295,47,22
0.9651364239184616,0.5919903478621007,0.4068332777875594,1.255297536930176,0.7176912173091877,2202.6390056227465,-1845.016162640411,-1653.9680669780362,-1443.1712767588613,-1278.1215322093703,-759.7736729018598,-756.2631398044523,-753.0665261320155,-750.1896770253206,-546.7615265985296,-496.1022495296038,50,26
0.9646185505799505,0.5531175168030633,0.8739751942177002,1.7858709344294936,0.2939712439453078,2730.3044744540566,-2901.4362563595782,-2356.1540656763727,-1756.6565858571748,-1096.3889239193759,-941.3253159415814,-792.4540788025914,-651.9291788580603,-623.6708402187523,-502.2860356638157,-468.88330457763914,52,26
0.9303568584673041,0.4386625169777051,0.5493850040446492,0.8561368001615866,0.5225446327379373,2167.516655967817,-174.2597435119907,-135.51827721275754,-115.79198455776123,-110.69731902436706,-107.32956188516869,-103.97963137540978,-103.35580285473702,-102.74635483075826,-102.15071789490366,-101.56837286290124,53,32
0.9576952676005541,0.10806351672894031,0.8487156793556817,1.303876026236345,0.4032911104502511,3663.6992955345113,-16.263418932897686,-13.3235225391978,-10.142015136181072,-6.698045178831286,-5.06229808004538,-3.5911046713739267,-3.5818362897489635,-3.3994618804075145,-3.3517374731481837,-3.319893780357681,49,27
0.9545807275400593,0.14239418863140657,0.3699669979396072,0.8134865774085891,0.2263136020898231,3709.4024840168504,-33.933768872268956,-31.89657134282279,-29.76259749984775,-25.088326871823156,-19.970447509920515,-14.569498045709011,-9.341862962651462,-4.7606583300424745,-4.748508136678382,-4.737423059710295,48,23
0.9607592389708728,0.3060564272703885,0.31400867751843686,0.8680683501784738,0.18896826672055048,2059.071489099159,-140.42871932861718,-105.66897876893522,-67.15942911103926,-47.246873896704294,-28.658382724441026,-28.55246743293708,-23.993800065471248,-22.882786933258444,-22.17273745690784,-21.47493560632097,50,28
0.9556755749796664,0.1676273718913453,0.560299064872427,0.7212484845351459,0.39073166032173423,3975.1609319783506,-19.438278973154674,-13.578197069301172,-6.670836034258215,-6.652773935549135,-6.636350545275931,-6.6214960529867,-6.608154856230925,-6.124861241692997,-6.005934652807525,-5.9299932907487545,53,27
0.9352922100449695,0.37933638516928037,0.23252733341880757,0.6987126894557478,0.5319201975520695,2519.8393406125174,-175.88753587938922,-164.75009294546948,-152.6610197332,-139.61153649819147,-125.6447454637283,-110.88542472591227,-95.57371075320499,-80.09157070325826,-64.96135633623378,-50.79368757727195,50,14
0.9388284275915834,0.5264442754736,0.6383954316963423,1.1269125719537345,0.46011433449521744,2021.6029676475853,-1071.2091928785767,-941.4820507967639,-674.895582719406,-364.5045595858028,-363.3206936356519,-362.2359531818638,-361.25449664659845,-360.3812793025181,-359.62404632324615,-358.9885520671978,54,24
0.9443752166496866,0.4168613716285411,0.39998670241107903,0.9855285591227975,0.8577309784653864,2149.603940392384,-188.7177298503947,-177.31969147014505,-171.61963909876923,-166.0558119130743,-112.28646653179916,-105.76060367601602,-99.29980812693861,-99.08787743984044,-81.98862090683906,-77.67356640880439,48,26
0.9344471841675299,0.7410662726562471,0.8373421454456622,1.3805917117864768,0.3525291230530536,3779.268152161645,-16429.70644909554,-13034.141664805109,-9005.191317302842,-6252.0779286160005,-5348.0230152494005,-4827.830494176669,-4823.2215422074805,-3912.823745576934,-3654.7011292885727,-3476.076128344328,52,27
0.9468869235027424,0.192817188381582,0.1278378305942568,1.6268532512010905,0.2952993101926305,2409.5078445966474,-29.01088050782678,-25.746723281908118,-22.339820451975235,-18.894109918842872,-15.747688626906484,-14.283842094236945,-6.739156828327893,-6.693793911766647,-6.650870367408601,-6.610308031120141,53,20
0.9618387426540169,0.5163543566876304,0.2641529865321264,0.6510639215861932,0.5856738987810359,3710.57088920352,-1018.820728658939,-894.3439563059361,-755.7842394636667,-600.1877843495635,-418.7523185049451,-346.4584539774572,-279.43508017290696,-279.09008551948136,-202.5546570758188,-184.44714101981845,48,26
0.9427801870038818,0.5557109815660394,0.9513941307838105,1.3777420373751834,0.8451947589441439,3697.7225917937367,-839.0268195770493,-811.8970272702514,-796.1500790418966,-895.3491762926401,-591.4250796765855,-588.4994180407612,-585.7314547921733,-583.1290665353308,-580.7043308635102,-578.4663908011644,54,22
0.9759648479260044,0.5079361020461972,0.15977698302896876,1.1020063174535355,0.45548618070032754,3403.8169263859554,-840.6969033020986,-750.6686175129282,-657.7547836316025,-562.4055438721257,-469.35755980632194,-378.4322500980968,-292.6903938851843,-215.71714945170788,-212.82859092435365,-210.04877747953287,52,16
0.9496925556843749,0.8300176406770374,0.47260592294855497,1.6576579602627184,0.8915486107736365,2302.3986416685752,-10218.598283416743,-9898.118707511881,-9572.555798647374,-9242.734393529967,-8909.544940843867,-8573.944595737112,-8236.954098734896,-8201.925473613854,-8165.95441919881,-8129.471503233726,53,14
0.9318766816312015,0.8487509863515665,0.5409514982208072,1.9208937048364143,0.7987520180504836,2347.3883961089823,-21569.841127672324,-21604.271223304895,-20205.067251200413,-19214.21261307574,-12268.496660624267,-12208.996519817127,-12156.189877276018,-12110.246508255601,-12071.385277991503,-12039.867420200724,52,24
0.9694995437059104,0.38869582893960564,0.6188662010347142,1.9554933841056044,0.8098389417609327,2093.2421957628344,-198.89989417247435,-192.49029942775311,-187.54356759154203,-184.88731739928983,-186.1376256227039,-174.24008610442607,-162.43493983070738,-150.79689867475736,-87.90981311316864,-86.9983394369101,48,21
0.9356789925372518,0.8880316767879444,0.6548530782764198,0.5626072845558037,0.31730147501597983,2894.559436038138,-100601.38966026399,-90988.78469284062,-79216.73008768719,-64852.92634813321,-47383.994589672424,-26162.064781931043,-23012.77420146527,-21874.14800032531,-22099.02990871723,-16754.816354428272,49,25
0.938963772882897,0.5117419263829609,0.7913968514056805,1.9118092430306235,0.38671518218463696,3561.7024871077892,-1381.9625746471268,-1273.8759082823208,-1157.7089653912017,-1032.6424345072264,-897.7590685655535,-752.0369517958583,-594.3354344309967,-541.2665213943907,-491.1979646473095,-444.2411178122703,53,12
0.9742931927047678,0.36817019782356986,0.8086700125282644,1.8767700584460605,0.6290068950651262,2257.8227689344294,-234.03411461176862,-196.7125246272874,-157.86245076312468,-116.18513934532137,-96.90408363017185,-79.30923734069893,-78.59892982407041,-65.32494400720566,-61.7568784526934,-59.34333082967942,49,27
0.9407019278707374,0.419442847224616,0.2890504262082413,1.6751901843903516,0.16940220540547682,3445.0631859564733,-92.43082934421432,-91.81359076685749,-91.23799000324243,-90.70352859992545,-73.81640010964543,-69.36666331303513,-66.37680755952965,-63.42699952900716,-62.73019871693691,-62.05197776817408,54,30
0.9446507304090076,0.4821139674664585,0.5488469116649098,1.758195913408327,0.4032255601841872,2494.9446611665976,-1209.0216006171738,-1146.5555034263552,-1080.533137367799,-950.3038392743706,-800.7525320581344,-628.8544619449777,-440.50656023019104,-231.34393167693315,-229.70445004285057,-228.1728979273148,47,23
0.9703704866895582,0.9225094364969162,0.2776224839868467,0.6256347440478494,0.8539514503349767,3673.222996704331,-30115.738958561167,-29181.79932378375,-28145.42189247337,-26998.497719434694,-25747.36945274522,-22803.65989199559,-21017.292455998035,-19582.781346408203,-18629.255609421045,-17669.612983358456,50,5
0.9540850516913378,0.15898510104183095,0.21900556633498325,0.6540696761930034,0.8677208690329072,3936.105528812827,-10.136392400897975,-8.859058933360924,-8.495497481883962,-8.12969681823003,-7.762329880671457,-7.394277508098844,-7.026573652035379,-6.660366881519194,-6.29688438240297,-5.937403214191424,48,9
0.9710062954188448,0.6842381483552841,0.7588597480209699,1.8605206275692088,0.34263564252084844,3234.3225652486003,-18340.02991332105,-17318.726613708903,-16266.51887610143,-15180.789250643844,-14058.918978705735,-12898.201715234643,-11695.674796378938,-10448.043189457607,-9151.566427247724,-7802.01362262297,48,15
0.9363333284042253,0.6480336336286163,0.948713199414646,0.7050162785456917,0.624788177966224,2731.5328543415894,-5177.124315941363,-4926.113483760815,-4649.385242587816,-4344.529220194553,-4008.8638480702625,-3639.38822511858,-3232.7132959143373,-2784.966831599681,-1911.1658959958104,-1747.0962798754085,50,18
0.9314342672189955,0.6165732918372374,0.7296253949128277,1.479977017989237,0.8145333220141061,3224.973341122265,-1698.5253139390377,-1628.7105854196805,-1552.100908372072,-1467.7769291842806,-1263.4241005352887,-1142.3196459012127,-1007.9071535461891,-886.1236701024809,-880.7993886594295,-875.5599995063649,52,6
0.9319939452930329,0.973432136447417,0.127270569228297,0.9569058917635709,0.7968615214761691,3075.136159206162,-33634.079671323474,-31771.278435460787,-29820.51479858131,-30298.85259063414,-15414.7525193232,-11922.322351985378,-9715.7631097564,-7500.090318101109,-7391.813082657231,-7286.543227138347,52,30
0.9309666106022553,0.8113523435633986,0.4860849280149163,1.511734040123586,0.8154183171496455,3990.2477852751936,-12300.698858323747,-9728.962770501212,-9052.20153436144,-8380.098490685734,-8382.739914732272,-6238.88791715735,-5657.514033616782,-5261.669381924163,-4868.518462785403,-4773.536858901207,51,29
0.9688981294807094,0.9421901741904247,0.9387729450083073,0.6130868712048575,0.40281044485397255,2710.5585112872036,-148572.99658896524,-104966.37548394216,-89157.3617216009,-73295.22368844152,-57886.51227527397,-42896.09652283933,-39135.712182071526,-36717.86450068274,-34337.49680855026,-34042.02322677168,53,29
0.9546290358747285,0.826556071793793,0.2590496055649587,0.9964338835591107,0.13135777466088394,3029.88027770367,-35481.02969694033,-32671.802859427633,-29574.29711818175,-26162.822185143825,-22408.55603586826,-18279.048822753706,-13737.98544642465,-8744.721319097445,-7715.82988047038,-6876.809705839733,52,14
0.9429955788485689,0.2604033032359941,0.2900102787999572,0.682257308686367,0.38794498528270815,3681.537324530853,-83.39481733116942,-78.71112930220268,-73.78874858184327,-68.57836572821739,-63.037605460448674,-46.59701978262279,-39.23252818666503,-31.3381913688394,-22.86183653687662,-15.821031640203813,50,5
0.9358182669476973,0.7187436617062998,0.14908473997994265,1.4103464156185312,0.5358054268467424,2658.806296942884,-4698.381092585584,-4385.624255668507,-4053.558089812574,-3717.569483827586,-3412.068932747556,-3288.9939243101217,-1663.2035638437992,-1659.6072472518936,-1656.3391128793955,-1653.4567419434497,52,20
0.9569314828826208,0.26893571523773363,0.5064581115923581,1.6477136842688245,0.5673047224127209,3186.6131691716455,-66.18421261563502,-59.94572096305672,-53.41832596213658,-46.57887127250248,-39.402324980611,-31.86097598279777,-25.21115455095196,-19.929445020620108,-19.719315000939304,-19.520532442145935,52,12
0.9452920313225731,0.1862867059956284,0.25302528286922743,0.8408724153698741,0.5503597574850313,3509.7883563319865,-30.658821934413005,-27.167599209660768,-23.212810025796287,-18.728087980532475,-13.582485245380207,-11.341181808108548,-9.195551800327578,-7.217441531896895,-6.583546790073996,-6.426016853531991,47,26
0.975245831825794,0.19639191891382302,0.43049853426097606,1.7643067599238884,0.20377912972756862,2717.2716868018983,-74.82273538889108,-69.42945559388946,-63.91290691603371,-58.26495184742164,-47.183612596810214,-35.35951960853128,-22.735573755482584,-9.343074932257366,-9.268956798773132,-9.198848141185039,48,22
0.975296344127751,0.6959613660268537,0.7770418500928363,0.7231365695921355,0.8522645632303978,2701.3250956696793,-5697.233474782556,-5454.429717267391,-5201.169987241765,-4936.837293161937,-4660.678220461601,-4371.732640070404,-4068.7378207507627,-3750.0024659831647,-3417.0346876668145,-3214.4230001800256,48,13
0.9434414679660801,0.9349902347533432,0.25223155578737466,1.9567123227941228,0.41243905873819176,2402.4659870108203,-79120.87852806384,-75512.98615000937,-71489.8923450974,-66998.98291751927,-61982.458793813435,-56376.14700419007,-50108.7722261218,-43101.233439906006,-35266.032005649766,-26504.55181604528,49,10
0.9344329099596734,0.6087814967305921,0.5254398197324331,0.7474013970523352,0.4228302503273923,3767.582651726426,-2795.536294538726,-2219.7056364172336,-1628.7806540101749,-868.3166250900085,-869.9921024752148,-871.9612019685956,-874.2395646222685,-699.2632232244287,-655.2424333821418,-626.6333010688377,51,27
0.9526258836100725,0.5229614114707158,0.6062886495912176,0.7528788535872775,0.5235698736916634,2254.898062481506,-1477.033757789272,-1407.6117915492387,-1333.309829143714,-1160.5463868648108,-1063.6811682239256,-959.6179532687552,-847.7281016874198,-727.3287803579185,-597.6708445949902,-548.834468914534,51,7
0.9681599276546151,0.8322235697290052,0.6311696823495886,0.6494382224512792,0.4858147501914888,2596.3090879828887,-15220.380457029094,-13372.929438440216,-13439.557217331312,-13510.65184143468,-9520.673159633356,-8548.824344226683,-7931.613956969348,-7324.438896252075,-7264.634627231717,-7206.251860030898,54,30
0.9609353604319038,0.6312376931007657,0.5767291133484836,1.5647204978109612,0.5826602552579625,3316.991734570691,-4099.438077090578,-3853.7384012989924,-3594.6009268330104,-3066.0340503068683,-2743.3396776429063,-2400.6017196621788,-2036.0241456415974,-1853.17627258186,-1679.5555730695037,-1515.4412882671788,53,7
0.9689881203888375,0.33219940882087445,0.5827146285250796,1.4419001144067112,0.5898683845567653,2272.365485953924,-46.51354338702299,-46.21268131982629,-38.77881859781064,-36.86344741928451,-35.597724525562626,-34.3592771503902,-34.09210549431077,-33.831364568172035,-33.57680650224165,-33.3281930601313,54,32
0.9393271487054415,0.44349322147247505,0.9823071745437051,1.69225301490797,0.36922288201606357,3531.3365570277692,-687.1124836847806,-627.5365788976419,-563.4727481859882,-494.4823451120552,-420.07814782737586,-339.7182784963239,-313.60960788971437,-288.7273897098524,-265.09867128967335,-242.74667355639724,54,13
