theta,rc,rho,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0.19656627311373498,7.119369298726421,0.0,5.888369821485846,4.632246926485425,3.550899549001996,2.6463959222180677,1.91366117576434,1.3236564246504479,0.8607826977000068,0.455478014263351,0.12043299320879494,-0.1777308408721444,-0.4623306050889018,-0.7089340724613488,-0.9348222706324267,-1.1603598360448937,-1.3832004141833398,-1.5852963808222056,-1.785767110226831,-1.9862374067248036,-2.1866854760774643,-2.3859923154906477,-8.0
0.4286282465070286,5.847786036070223,0.0,4.338374269980649,2.796744031583817,1.6449195620816184,0.7999082386464131,0.13157375933177265,-0.4418508306803389,-0.9303203260020049,-1.3906055747535409,-1.8276505245146017,-2.259797505085722,-2.689593138761831,-3.118567619789441,-3.547349661735934,-3.9759882329454688,-4.4046181601584795,-4.833246541253291,-5.261874893930379,-5.690503140437405,-6.1191313869444395,-6.5477596334514585,-8.0
0.5229520834488725,10.593755742651243,0.0,-8.0,5.673682551169387,3.671585783309217,2.1549910098719534,1.0581580259749472,0.23107574656327448,-0.44866523319454166,-1.041275565078785,-1.5770709377320655,-2.106369842797873,-2.630745865326644,-3.153994316227748,-3.6770631143324337,-4.200017406962734,-4.722969955838341,-5.245922150466395,-5.768874233915259,-6.291826317364147,-6.814778400813014,-7.337730484261878,-8.0
0.8039765697124117,11.178604723762552,0.0,-8.0,5.113162985772916,2.8062855665894695,1.203021862658444,0.06691738921588718,-0.8373058856161485,-1.6559426664872554,-2.4619514697494034,-3.2661916262039865,-4.070171302315858,-4.87414809994316,-5.6781246696555785,-6.482101239367974,-7.286077809080395,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
0.8231081381058967,5.274890529397248,0.0,3.50113591747916,1.674430533843385,0.39533590286456827,-0.5873817898432692,-1.4438648321601213,-2.271369629115493,-3.0950211271623504,-3.918161760265377,-4.741270386483097,-5.5643785357740025,-6.3874866738799,-7.210594811985797,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
0.49769584206889284,14.610693166748794,0.0,-8.0,-8.0,6.209626997761487,4.144028386136197,2.5420069132330787,1.3680840104615686,0.4896375170148068,-0.21205052004163338,-0.7834828461999337,-1.321810777906118,-1.829249431057095,-2.329484055508082,-2.828236841754662,-3.326111280160612,-3.8238716754906386,-4.321569544709384,-4.819265543052996,-5.316961473994989,-5.814657316063889,-6.312353158132787,-8.0
0.9883441619084883,9.20547378737377,0.0,6.36095044537296,3.4581735270188467,1.469088495136593,0.10656403272898132,-0.9707727717962629,-1.969030038769758,-2.9582998537703844,-3.946666573646978,-4.935010944359605,-5.9233551062680885,-6.911699268176578,-7.900043430085075,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
0.2077632310983519,10.427334526260438,0.0,-8.0,7.192317462337469,5.737129941028321,4.464246308600658,3.3771587189626033,2.4778186915223395,1.7591762834603988,1.1788347933044943,0.7188269425172724,0.3139503135163822,-0.004250408991978816,-0.3136129932583327,-0.598217777870419,-0.8369861140574698,-1.0754703166938278,-1.311769028808972,-1.5312574458829056,-1.7431486222923156,-1.955093732902646,-2.169808039640607,-8.0
0.6640881667059255,8.081032904776887,0.0,5.838202779713928,3.54943194344193,1.8788864536446759,0.7059613767715595,-0.19331867754126797,-0.9431928377434536,-1.6202868774337753,-2.288060062523265,-2.95297017255218,-3.6171968772283143,-4.281287280852207,-4.945375653107832,-5.60946381981376,-6.273551986519674,-6.937640153225602,-7.60172831993153,-8.0,-8.0,-8.0,-8.0,-8.0
0.6271432839148596,9.95166820533888,0.0,7.433362082981157,4.863661722200154,2.8802764220698176,1.460634626123758,0.42927909040740064,-0.38311103524964907,-1.0801662872950275,-1.719573949308117,-2.3492758413386454,-2.977170639649222,-3.6044568227731926,-4.231602526294889,-4.858746007130508,-5.485889326875686,-6.113032610790553,-6.74017589470542,-7.3673191786202645,-7.994462462535125,-8.0,-8.0,-8.0
